File 1,File 2,Similarity Score
submission101.py,submission37.py,0.702
submission101.py,submission38.py,0.65
submission101.py,submission39.py,0.701
submission101.py,submission4.py,0.356
submission101.py,submission40.py,0.543
submission101.py,submission41.py,0.581
submission101.py,submission42.py,0.564
submission101.py,submission43.py,0.53
submission101.py,submission44.py,0.556
submission101.py,submission45.py,0.704
submission101.py,submission46.py,0.733
submission101.py,submission47.py,0.741
submission101.py,submission48.py,0.716
submission101.py,submission49.py,0.734
submission101.py,submission5.py,0.33
submission101.py,submission50.py,0.706
submission101.py,submission51.py,0.729
submission101.py,submission52.py,0.73
submission101.py,submission53.py,0.702
submission101.py,submission54.py,0.758
submission101.py,submission55.py,0.723
submission101.py,submission56.py,0.736
submission101.py,submission57.py,0.683
submission101.py,submission58.py,0.732
submission101.py,submission59.py,0.771
submission101.py,submission6.py,0.523
submission101.py,submission60.py,0.745
submission101.py,submission61.py,0.738
submission101.py,submission62.py,0.744
submission101.py,submission63.py,0.742
submission101.py,submission64.py,0.735
submission101.py,submission65.py,0.752
submission101.py,submission66.py,0.762
submission101.py,submission67.py,0.666
submission101.py,submission68.py,0.676
submission101.py,submission69.py,0.604
submission101.py,submission7.py,0.508
submission101.py,submission70.py,0.599
submission101.py,submission71.py,0.682
submission101.py,submission72.py,0.631
submission101.py,submission73.py,0.651
submission101.py,submission74.py,0.68
submission101.py,submission75.py,0.653
submission101.py,submission76.py,0.662
submission101.py,submission77.py,0.687
submission101.py,submission78.py,0.669
submission101.py,submission79.py,0.662
submission101.py,submission8.py,0.58
submission101.py,submission80.py,0.69
submission101.py,submission81.py,0.667
submission101.py,submission82.py,0.588
submission101.py,submission83.py,0.627
submission101.py,submission84.py,0.605
submission101.py,submission85.py,0.6
submission101.py,submission86.py,0.635
submission101.py,submission87.py,0.638
submission101.py,submission88.py,0.532
submission101.py,submission89.py,0.628
submission101.py,submission9.py,0.592
submission101.py,submission90.py,0.574
submission101.py,submission91.py,0.644
submission101.py,submission92.py,0.683
submission101.py,submission93.py,0.684
submission101.py,submission94.py,0.595
submission101.py,submission95.py,0.548
submission101.py,submission96.py,0.683
submission101.py,submission97.py,0.0
submission101.py,submission98.py,0.811
submission101.py,submission99.py,0.851
submission102.py,submission103.py,0.854
submission102.py,submission104.py,0.838
submission102.py,submission105.py,0.959
submission102.py,submission106.py,0.949
submission102.py,submission107.py,0.66
submission102.py,submission108.py,0.655
submission102.py,submission109.py,0.611
submission102.py,submission11.py,0.691
submission102.py,submission110.py,0.668
submission102.py,submission111.py,0.673
submission102.py,submission112.py,0.763
submission102.py,submission113.py,0.761
submission102.py,submission114.py,0.761
submission102.py,submission115.py,0.763
submission102.py,submission116.py,0.73
submission102.py,submission117.py,0.561
submission102.py,submission118.py,0.596
submission102.py,submission119.py,0.561
submission102.py,submission12.py,0.576
submission102.py,submission120.py,0.594
submission102.py,submission121.py,0.562
submission102.py,submission122.py,0.647
submission102.py,submission123.py,0.637
submission102.py,submission124.py,0.619
submission102.py,submission125.py,0.649
submission102.py,submission126.py,0.645
submission102.py,submission127.py,0.651
submission102.py,submission128.py,0.662
submission102.py,submission129.py,0.651
submission102.py,submission13.py,0.691
submission102.py,submission130.py,0.655
submission102.py,submission131.py,0.62
submission102.py,submission132.py,0.661
submission102.py,submission133.py,0.661
submission102.py,submission134.py,0.76
submission102.py,submission135.py,0.661
submission102.py,submission136.py,0.642
submission102.py,submission137.py,0.782
submission102.py,submission138.py,0.785
submission102.py,submission139.py,0.793
submission102.py,submission14.py,0.644
submission102.py,submission140.py,0.776
submission102.py,submission141.py,0.75
submission102.py,submission142.py,0.758
submission102.py,submission143.py,0.744
submission102.py,submission144.py,0.723
submission102.py,submission145.py,0.723
submission102.py,submission146.py,0.718
submission102.py,submission147.py,0.718
submission102.py,submission148.py,0.716
submission102.py,submission149.py,0.716
submission102.py,submission15.py,0.648
submission102.py,submission150.py,0.783
submission102.py,submission151.py,0.607
submission102.py,submission152.py,0.554
submission102.py,submission153.py,0.653
submission102.py,submission154.py,0.737
submission102.py,submission155.py,0.718
submission102.py,submission156.py,0.714
submission102.py,submission157.py,0.648
submission102.py,submission158.py,0.748
submission102.py,submission159.py,0.841
submission102.py,submission16.py,0.719
submission102.py,submission160.py,0.601
submission102.py,submission161.py,0.609
submission102.py,submission162.py,0.694
submission102.py,submission163.py,0.679
submission102.py,submission164.py,0.68
submission102.py,submission165.py,0.679
submission102.py,submission166.py,0.653
submission102.py,submission167.py,0.648
submission102.py,submission168.py,0.648
submission102.py,submission169.py,0.648
submission102.py,submission17.py,0.74
submission102.py,submission170.py,0.654
submission102.py,submission171.py,0.65
submission102.py,submission172.py,0.65
submission102.py,submission173.py,0.648
submission102.py,submission174.py,0.65
submission102.py,submission18.py,0.702
submission102.py,submission19.py,0.721
submission102.py,submission2.py,0.33
submission102.py,submission20.py,0.718
submission102.py,submission21.py,0.723
submission102.py,submission22.py,0.733
submission102.py,submission23.py,0.694
submission102.py,submission24.py,0.691
submission102.py,submission25.py,0.716
submission102.py,submission26.py,0.718
submission102.py,submission27.py,0.724
submission102.py,submission28.py,0.747
submission102.py,submission29.py,0.745
submission102.py,submission3.py,0.33
submission102.py,submission30.py,0.747
submission102.py,submission31.py,0.658
submission102.py,submission32.py,0.658
submission102.py,submission33.py,0.696
submission102.py,submission34.py,0.718
submission102.py,submission35.py,0.71
submission102.py,submission36.py,0.671
submission102.py,submission37.py,0.702
submission102.py,submission38.py,0.65
submission102.py,submission39.py,0.701
submission102.py,submission4.py,0.356
submission102.py,submission40.py,0.543
submission102.py,submission41.py,0.581
submission102.py,submission42.py,0.564
submission102.py,submission43.py,0.53
submission102.py,submission44.py,0.556
submission102.py,submission45.py,0.704
submission102.py,submission46.py,0.733
submission102.py,submission47.py,0.741
submission102.py,submission48.py,0.716
submission102.py,submission49.py,0.734
submission102.py,submission5.py,0.33
submission102.py,submission50.py,0.706
submission102.py,submission51.py,0.729
submission102.py,submission52.py,0.73
submission102.py,submission53.py,0.702
submission102.py,submission54.py,0.758
submission102.py,submission55.py,0.723
submission102.py,submission56.py,0.736
submission102.py,submission57.py,0.683
submission102.py,submission58.py,0.732
submission102.py,submission59.py,0.771
submission102.py,submission6.py,0.523
submission102.py,submission60.py,0.745
submission102.py,submission61.py,0.738
submission102.py,submission62.py,0.744
submission102.py,submission63.py,0.742
submission102.py,submission64.py,0.735
submission102.py,submission65.py,0.752
submission102.py,submission66.py,0.762
submission102.py,submission67.py,0.666
submission102.py,submission68.py,0.676
submission102.py,submission69.py,0.604
submission102.py,submission7.py,0.508
submission102.py,submission70.py,0.599
submission102.py,submission71.py,0.682
submission102.py,submission72.py,0.631
submission102.py,submission73.py,0.651
submission102.py,submission74.py,0.68
submission102.py,submission75.py,0.653
submission102.py,submission76.py,0.662
submission102.py,submission77.py,0.687
submission102.py,submission78.py,0.669
submission102.py,submission79.py,0.662
submission102.py,submission8.py,0.58
submission102.py,submission80.py,0.69
submission102.py,submission81.py,0.667
submission102.py,submission82.py,0.588
submission102.py,submission83.py,0.627
submission102.py,submission84.py,0.605
submission102.py,submission85.py,0.6
submission102.py,submission86.py,0.635
submission102.py,submission87.py,0.638
submission102.py,submission88.py,0.532
submission102.py,submission89.py,0.628
submission102.py,submission9.py,0.592
submission102.py,submission90.py,0.574
submission102.py,submission91.py,0.644
submission102.py,submission92.py,0.683
submission102.py,submission93.py,0.684
submission102.py,submission94.py,0.595
submission102.py,submission95.py,0.548
submission102.py,submission96.py,0.683
submission102.py,submission97.py,0.0
submission102.py,submission98.py,0.811
submission102.py,submission99.py,0.851
submission103.py,submission104.py,0.967
submission103.py,submission105.py,0.84
submission103.py,submission106.py,0.818
submission103.py,submission107.py,0.66
submission103.py,submission108.py,0.655
submission103.py,submission109.py,0.611
submission103.py,submission11.py,0.691
submission103.py,submission110.py,0.668
submission103.py,submission111.py,0.673
submission103.py,submission112.py,0.763
submission103.py,submission113.py,0.761
submission103.py,submission114.py,0.761
submission103.py,submission115.py,0.763
submission103.py,submission116.py,0.73
submission103.py,submission117.py,0.561
submission103.py,submission118.py,0.596
